wals code,name,value,description,latitude,longitude,genus,family,area
hve,Huave (San Mateo del Mar),2,Moderately complex,16.21666667,-95,Huavean,Huavean,Phonology
hum,Huitoto (Murui),1,Simple,-1,-73.5,Witoto,Witotoan,Phonology
hun,Hungarian,3,Complex,47,20,Ugric,Uralic,Phonology
hzb,Hunzib,2,Moderately complex,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
hup,Hupa,3,Complex,41.08333333,-123.6666667,Athapaskan,Na-Dene,Phonology
iaa,Iaai,2,Moderately complex,-20.41666667,166.5833333,Oceanic,Austronesian,Phonology
iba,Iban,2,Moderately complex,2,112,Malayo-Sumbawan,Austronesian,Phonology
igb,Igbo,1,Simple,6,7.333333333,Igboid,Niger-Congo,Phonology
ijo,Ijo (Kolokuma),1,Simple,4.916666667,5.666666667,Ijoid,Ijoid,Phonology
ik,Ik,3,Complex,3.75,34.16666667,Kuliak,Eastern Sudanic,Phonology
ika,Ika,2,Moderately complex,10.66666667,-73.75,Arhuacic,Chibchan,Phonology
imo,Imonda,3,Complex,-3.333333333,141.1666667,Border,Border,Phonology
ind,Indonesian,3,Complex,0,106,Malayo-Sumbawan,Austronesian,Phonology
igs,Ingessana,2,Moderately complex,11.5,34,Eastern Jebel,Eastern Sudanic,Phonology
ing,Ingush,3,Complex,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,Phonology
irx,Iranxe,2,Moderately complex,-13,-58,Iranxe,Iranxe,Phonology
irq,Iraqw,2,Moderately complex,-4,35.5,Southern Cushitic,Afro-Asiatic,Phonology
irr,Irarutu,2,Moderately complex,-3,133.5,South Halmahera - West New Guinea,Austronesian,Phonology
ird,Irish (Donegal),3,Complex,55,-8,Celtic,Indo-European,Phonology
iso,Isoko,2,Moderately complex,5.5,6.25,Edoid,Niger-Congo,Phonology
ite,Itelmen,3,Complex,57,157.5,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
ito,Itonama,2,Moderately complex,-12.83333333,-64.33333333,Itonama,Itonama,Phonology
iva,Ivatan,2,Moderately complex,20.5,122,Batanic,Austronesian,Phonology
jak,Jakaltek,2,Moderately complex,15.66666667,-91.66666667,Mayan,Mayan,Phonology
jpn,Japanese,2,Moderately complex,37,140,Japanese,Japanese,Phonology
jpr,Japreria,2,Moderately complex,10.5,-73,Cariban,Cariban,Phonology
jaq,Jaqaru,2,Moderately complex,-13,-76,Aymaran,Aymaran,Phonology
jeb,Jebero,2,Moderately complex,-5.416666667,-76.5,Cahuapanan,Cahuapanan,Phonology
jeh,Jeh,3,Complex,15.16666667,107.8333333,Bahnaric,Austro-Asiatic,Phonology
jng,Jingpho,2,Moderately complex,25.41666667,97,Brahmaputran,Sino-Tibetan,Phonology
jom,Jomang,2,Moderately complex,10.58333333,30.5,Talodi,Kordofanian,Phonology
juh,Ju|'hoan,1,Simple,-19,21,Ju-Kung,Kxa,Phonology
kad,Kadugli,2,Moderately complex,11,29.66666667,Kadugli,Kadu,Phonology
kng,Kaingang,2,Moderately complex,-26,-52,Je Meridional,Macro-Ge,Phonology
kly,Kala Lagaw Ya,3,Complex,-10.11666667,142.1166667,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kal,Kalami,2,Moderately complex,35.5,72.5,Indic,Indo-European,Phonology
kgu,Kalkatungu,2,Moderately complex,-21,139.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
knk,Kanakuru,2,Moderately complex,10,12,West Chadic,Afro-Asiatic,Phonology
knd,Kannada,3,Complex,14,76,Dravidian,Dravidian,Phonology
knr,Kanuri,2,Moderately complex,12,13,Western Saharan,Saharan,Phonology
ksg,Karen (Sgaw),2,Moderately complex,18,97,Karen,Sino-Tibetan,Phonology
kyl,Kayah Li (Eastern),2,Moderately complex,19,97.5,Karen,Sino-Tibetan,Phonology
kay,Kayardild,2,Moderately complex,-17.05,139.5,Tangkic,Tangkic,Phonology
ked,Kedang,2,Moderately complex,-8.25,123.75,Central Malayo-Polynesian,Austronesian,Phonology
kef,Kefa,2,Moderately complex,7.25,36.25,Ta-Ne-Omotic,Afro-Asiatic,Phonology
ker,Kera,2,Moderately complex,9.833333333,15.08333333,East Chadic,Afro-Asiatic,Phonology
ket,Ket,3,Complex,64,87,Yeniseian,Yeniseian,Phonology
kew,Kewa,1,Simple,-6.5,143.8333333,Enga_Kewa-Huli,Trans-New Guinea,Phonology
kty,Khanty,2,Moderately complex,65,65,Ugric,Uralic,Phonology
khr,Kharia,2,Moderately complex,22.5,84.33333333,Munda,Austro-Asiatic,Phonology
khs,Khasi,3,Complex,25.5,92,Khasian,Austro-Asiatic,Phonology
khm,Khmer,3,Complex,12.5,105,Khmer,Austro-Asiatic,Phonology
kmu,Khmu',3,Complex,21,102,Khmuic,Austro-Asiatic,Phonology
klv,Kilivila,2,Moderately complex,-8.5,151.0833333,Oceanic,Austronesian,Phonology
kio,Kiowa,2,Moderately complex,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Phonology
kgz,Kirghiz,3,Complex,42,75,Turkic,Altaic,Phonology
krb,Kiribati,2,Moderately complex,1.333333333,173,Oceanic,Austronesian,Phonology
kss,Kisi (Southern),2,Moderately complex,8.5,-10.25,Southern Mel,Niger-Congo,Phonology
kiw,Kiwai (Southern),1,Simple,-8,143.5,Kiwaian,Trans-New Guinea,Phonology
klm,Klamath,3,Complex,42.5,-121.5,Klamath-Modoc,Penutian,Phonology
kla,Klao,1,Simple,4.75,-8.75,Kru,Niger-Congo,Phonology
koa,Koasati,2,Moderately complex,34.83333333,-85.16666667,Muskogean,Muskogean,Phonology
kob,Kobon,2,Moderately complex,-5.166666667,144.3333333,Kalam-Kobon,Trans-New Guinea,Phonology
koi,Koiari,1,Simple,-9.5,147.3333333,Koiarian,Trans-New Guinea,Phonology
kzy,Komi-Zyrian,3,Complex,65,55,Permic,Uralic,Phonology
kom,Komo,2,Moderately complex,8.75,33.75,Koman,Koman,Phonology
kor,Korean,2,Moderately complex,37.5,128,Korean,Korean,Phonology
kfe,Koromfe,2,Moderately complex,14.25,-0.9166666667,Koromfe,Niger-Congo,Phonology
kry,Koryak,3,Complex,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
kot,Kota,3,Complex,11.5,77.16666667,Dravidian,Dravidian,Phonology
ktk,Kotoko,3,Complex,11.33333333,15.33333333,Biu-Mandara,Afro-Asiatic,Phonology
koy,Koya,3,Complex,17.5,81.33333333,Dravidian,Dravidian,Phonology
kch,Koyra Chiini,2,Moderately complex,17,-3,Songhay,Songhay,Phonology
kpa,Kpan,3,Complex,7.583333333,10.16666667,Jukunoid,Niger-Congo,Phonology
kpe,Kpelle,2,Moderately complex,7,-10,Western Mande,Mande,Phonology
kro,Krongo,2,Moderately complex,10.5,30,Kadugli,Kadu,Phonology
kya,Kuku-Yalanji,2,Moderately complex,-16,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kul,Kullo,2,Moderately complex,6.75,37.08333333,Ta-Ne-Omotic,Afro-Asiatic,Phonology
kun,Kuna,2,Moderately complex,8,-77.33333333,Kuna,Chibchan,Phonology
knm,Kunama,2,Moderately complex,14.5,37,Kunama,Kunama,Phonology
kmp,Kunimaipa,2,Moderately complex,-8,146.8333333,Core Goilalan,Trans-New Guinea,Phonology
krd,Kurdish (Central),3,Complex,36,44,Iranian,Indo-European,Phonology
kut,Kutenai,3,Complex,49.5,-116,Kutenai,Kutenai,Phonology
kwa,Kwaio,1,Simple,-8.95,161,Oceanic,Austronesian,Phonology
kwk,Kwakw'ala,3,Complex,51,-127,Northern Wakashan,Wakashan,Phonology
kwo,Kwoma,2,Moderately complex,-4.166666667,142.75,Nukuma,Sepik,Phonology
lad,Ladakhi,3,Complex,34,78,Bodic,Sino-Tibetan,Phonology
lah,Lahu,2,Moderately complex,20,98.16666667,Burmese-Lolo,Sino-Tibetan,Phonology
lak,Lak,3,Complex,42.16666667,47.16666667,Lak,Nakh-Daghestanian,Phonology
lkt,Lakhota,3,Complex,43.83333333,-101.8333333,Mississippi Valley Siouan,Siouan,Phonology
lkk,Lakkia,2,Moderately complex,24.08333333,110.1666667,Kadai,Tai-Kadai,Phonology
lan,Lango,2,Moderately complex,2.166666667,33,Western Nilotic,Eastern Sudanic,Phonology
lat,Latvian,3,Complex,57,24,Baltic,Indo-European,Phonology
lav,Lavukaleve,2,Moderately complex,-9.083333333,159.2,Lavukaleve,Solomons East Papuan,Phonology
llm,Lelemi,1,Simple,7.333333333,0.5,Na-Togo,Niger-Congo,Phonology
len,Lenakel,2,Moderately complex,-19.45,169.25,Oceanic,Austronesian,Phonology
lep,Lepcha,3,Complex,27.16666667,88.5,Himalayish,Sino-Tibetan,Phonology
lez,Lezgian,3,Complex,41.66666667,47.83333333,Lezgic,Nakh-Daghestanian,Phonology
lit,Lithuanian,3,Complex,55,24,Baltic,Indo-European,Phonology
lua,Lua,2,Moderately complex,9.75,17.75,Bua,Niger-Congo,Phonology
lug,Lugbara,2,Moderately complex,3.083333333,30.91666667,Moru-Ma'di,Central Sudanic,Phonology
luo,Luo,2,Moderately complex,-0.5,34.75,Western Nilotic,Eastern Sudanic,Phonology
lus,Lushootseed,3,Complex,48,-122,Central Salish,Salishan,Phonology
kkv,Lusi,2,Moderately complex,-5.583333333,149.6666667,Oceanic,Austronesian,Phonology
luv,Luvale,1,Simple,-12,22,Bantu,Niger-Congo,Phonology
lu,Lü,2,Moderately complex,22,100.6666667,Kam-Tai,Tai-Kadai,Phonology
mya,Ma'ya,2,Moderately complex,-1.25,130.9166667,South Halmahera - West New Guinea,Austronesian,Phonology
maa,Maasai,2,Moderately complex,-3,36,Eastern Nilotic,Eastern Sudanic,Phonology
mab,Maba,3,Complex,13.75,20.83333333,Maban,Maban,Phonology
mne,Maidu (Northeast),2,Moderately complex,40,-120.6666667,Maiduan,Penutian,Phonology
mak,Makah,3,Complex,48.33333333,-124.6666667,Southern Wakashan,Wakashan,Phonology
mal,Malagasy,2,Moderately complex,-20,47,Barito,Austronesian,Phonology
mlk,Malakmalak,3,Complex,-13.41666667,130.4166667,Northern Daly,Northern Daly,Phonology
mla,Mambila,2,Moderately complex,6.75,11.5,Mambiloid,Niger-Congo,Phonology
mnd,Mandarin,2,Moderately complex,34,110,Chinese,Sino-Tibetan,Phonology
myi,Mangarrayi,3,Complex,-14.66666667,133.5,Mangarrayi,Mangarrayi-Maran,Phonology
mgg,Mangghuer,2,Moderately complex,36,102,Mongolic,Altaic,Phonology
mao,Maori,1,Simple,-40,176,Oceanic,Austronesian,Phonology
map,Mapudungun,2,Moderately complex,-38,-72,Araucanian,Araucanian,Phonology
mku,Maranungku,3,Complex,-13.66666667,130,Wagaydy,Western Daly,Phonology
mar,Maricopa,3,Complex,33.16666667,-113.1666667,Yuman,Hokan,Phonology
mrd,Marind,2,Moderately complex,-7.833333333,140.1666667,Marind-Yaqay,Trans-New Guinea,Phonology
mrt,Martuthunira,2,Moderately complex,-20.83333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Phonology
mau,Maung,3,Complex,-11.91666667,133.5,Iwaidjan,Iwaidjan,Phonology
max,Maxakalí,2,Moderately complex,-18,-40,Maxakalian,Macro-Ge,Phonology
may,Maybrat,1,Simple,-1.333333333,132.5,Maybrat,Maybrat,Phonology
mzc,Mazatec (Chiquihuitlán),2,Moderately complex,17.75,-96.91666667,Popolocan,Oto-Manguean,Phonology
mba,Mba,1,Simple,1,25,Ubangi,Niger-Congo,Phonology
mbb,Mbabaram,2,Moderately complex,-17.16666667,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
mei,Meithei,2,Moderately complex,24.75,94,Manipuri,Sino-Tibetan,Phonology
hok,Min (Southern),2,Moderately complex,25,118,Chinese,Sino-Tibetan,Phonology
mss,Miwok (Southern Sierra),2,Moderately complex,37.5,-120,Miwok,Penutian,Phonology
mtp,Mixe (Totontepec),3,Complex,17.25,-96,Mixe-Zoque,Mixe-Zoque,Phonology
mxc,Mixtec (Chalcatongo),1,Simple,17.05,-97.58333333,Mixtec,Oto-Manguean,Phonology
mog,Moghol,3,Complex,35,62,Mongolic,Altaic,Phonology
mor,Mor,1,Simple,-2.95,135.75,South Halmahera - West New Guinea,Austronesian,Phonology
mro,Moro,2,Moderately complex,11,30.16666667,Heiban,Kordofanian,Phonology
mov,Movima,1,Simple,-13.83333333,-65.66666667,Movima,Movima,Phonology
mui,Muinane,1,Simple,-1,-72.5,Boran,Boran,Phonology
mum,Mumuye,2,Moderately complex,9,11.66666667,Mumuye-Yandang,Niger-Congo,Phonology
mun,Mundari,2,Moderately complex,23,84.66666667,Munda,Austro-Asiatic,Phonology
mrl,Murle,2,Moderately complex,6.5,33.5,South Surmic,Eastern Sudanic,Phonology
mpa,Murrinh-Patha,3,Complex,-14.66666667,129.6666667,Murrinh-Patha,Southern Daly,Phonology
nhn,Nahuatl (North Puebla),2,Moderately complex,20,-98.25,Aztecan,Uto-Aztecan,Phonology
nht,Nahuatl (Tetelcingo),2,Moderately complex,19.66666667,-99,Aztecan,Uto-Aztecan,Phonology
kho,Nama,2,Moderately complex,-25.5,18,Khoe-Kwadi,Khoe-Kwadi,Phonology
nmb,Nambikuára (Southern),3,Complex,-14,-59.5,Nambikuaran,Nambikuaran,Phonology
nai,Nanai,2,Moderately complex,49.5,137,Tungusic,Altaic,Phonology
nnc,Nancowry,2,Moderately complex,8.05,93.5,Nicobarese,Austro-Asiatic,Phonology
nan,Nandi,2,Moderately complex,0.25,35,Eastern Nilotic,Eastern Sudanic,Phonology
nar,Nara (in Ethiopia),2,Moderately complex,15.08333333,37.58333333,Nara,Eastern Sudanic,Phonology
nav,Navajo,2,Moderately complex,36.16666667,-108,Athapaskan,Na-Dene,Phonology
nax,Naxi,1,Simple,27.5,100,Na-Qiangic,Sino-Tibetan,Phonology
ndt,Ndut,2,Moderately complex,14.91666667,-16.91666667,Cangin,Niger-Congo,Phonology
ndy,Ndyuka,2,Moderately complex,4.5,-54.5,Creoles and Pidgins,other,Phonology
ntu,Nenets,3,Complex,70,76,Samoyedic,Uralic,Phonology
nap,Neo-Aramaic (Persian Azerbaijan),3,Complex,38,47,Semitic,Afro-Asiatic,Phonology
new,Newari (Kathmandu),2,Moderately complex,27.66666667,85.5,Himalayish,Sino-Tibetan,Phonology
nez,Nez Perce,3,Complex,46,-116,Sahaptian,Penutian,Phonology
nga,Nganasan,2,Moderately complex,71,93,Samoyedic,Uralic,Phonology
nti,Ngiti,1,Simple,1.333333333,30.25,Lendu,Central Sudanic,Phonology
ngi,Ngiyambaa,2,Moderately complex,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
ngz,Ngizim,2,Moderately complex,12.08333333,10.91666667,West Chadic,Afro-Asiatic,Phonology
niv,Nivkh,3,Complex,53.33333333,142,Nivkh,Nivkh,Phonology
nko,Nkore-Kiga,2,Moderately complex,-0.9166666667,29.83333333,Bantu,Niger-Congo,Phonology
nob,Nobiin,2,Moderately complex,21,31,Nubian,Eastern Sudanic,Phonology
non,Noni,3,Complex,6.416666667,10.58333333,Beboid,Niger-Congo,Phonology
nor,Norwegian,3,Complex,61,8,Germanic,Indo-European,Phonology
nug,Nunggubuyu,2,Moderately complex,-13.75,135.6666667,Nunggubuyu,Gunwinyguan,Phonology
nuu,Nuuchahnulth,3,Complex,49.66666667,-126.6666667,Southern Wakashan,Wakashan,Phonology
nkt,Nyah Kur (Tha Pong),3,Complex,15.66666667,101.6666667,Monic,Austro-Asiatic,Phonology
nyg,Nyangi,2,Moderately complex,3.416666667,33.58333333,Kuliak,Eastern Sudanic,Phonology
nyi,Nyimang,2,Moderately complex,12.16666667,29.33333333,Nyimang,Eastern Sudanic,Phonology
nis,Nyishi,3,Complex,27.5,93.5,Tani,Sino-Tibetan,Phonology
ood,O'odham,3,Complex,32,-112,Tepiman,Uto-Aztecan,Phonology
ogb,Ogbia,2,Moderately complex,4.666666667,6.25,Central Delta,Niger-Congo,Phonology
ond,Oneida,3,Complex,43,-75.66666667,Northern Iroquoian,Iroquoian,Phonology
orm,Ormuri,3,Complex,32.5,69.75,Iranian,Indo-European,Phonology
orh,Oromo (Harar),2,Moderately complex,9,42,Lowland East Cushitic,Afro-Asiatic,Phonology
otm,Otomí (Mezquital),3,Complex,20.16666667,-99.16666667,Otomian,Oto-Manguean,Phonology
pms,Paamese,2,Moderately complex,-16.5,168.25,Oceanic,Austronesian,Phonology
